image_path,Number of white pixels whole,Number of white pixels voids,Number of white pixels cement,Number of white pixels aggregate,area of v(mm2),area of c(mm2),area of a(mm2),area of whole(mm2)
G:\my_Ml_projects\image processing\p1.PNG,72981,14271,13147,45669,3905.208860672897,3597.6302215168225,12497.16091781028,20000.0
G:\my_Ml_projects\image processing\p2.PNG,72395,14076,12718,45726,3881.9635962493103,3507.446221731936,12610.590182018754,20000.0
G:\my_Ml_projects\image processing\p3.PNG,69806,13618,11848,44440,3896.0890338454496,3389.694732927074,12714.216233227478,20000.0
G:\my_Ml_projects\image processing\p4.PNG,73357,14397,12388,46673,3919.7909009229766,3372.8116746984674,12707.397424378558,20000.0
G:\my_Ml_projects\image processing\p5.PNG,72987,14242,12329,46516,3897.273112865489,3373.7874040527045,12728.939483081807,20000.0
G:\my_Ml_projects\image processing\p6.PNG,75809,14775,13105,48042,3892.1524722741765,3452.2272858986857,12655.620241827139,20000.0
G:\my_Ml_projects\image processing\p7.PNG,71065,13853,12375,44970,3891.4014438607824,3476.2212421697236,12632.377313969493,20000.0
G:\my_Ml_projects\image processing\p8.PNG,144315,28142,25248,91204,3892.5543245224558,3492.2610896717706,12615.184585805773,20000.0
G:\my_Ml_projects\image processing\p9.PNG,72917,14434,12855,45744,3952.7336957265898,3520.3264277792236,12526.939876494189,20000.0
G:\my_Ml_projects\image processing\p10.PNG,70129,13712,12091,44449,3903.6611057336445,3442.1795820759553,12654.1593121904,20000.0
G:\my_Ml_projects\image processing\p11.PNG,71089,13995,12576,44627,3931.290204781033,3532.683502345571,12536.026292873394,20000.0
G:\my_Ml_projects\image processing\p12.PNG,71687,14214,12525,45069,3958.8903743315504,3488.469251336898,12552.64037433155,20000.0
G:\my_Ml_projects\image processing\p13.PNG,73174,14497,12609,46198,3955.309396485867,3440.1942595219907,12604.496343992143,20000.0
