label,area,,,,area
,,,,,
27,0.010301086,0.010301086,5.46E-06,0.000545944,0.010301086
,,,,0,
34,0.010301086,0.020602172,1.09E-05,0.001091888,0.010301086
,,,0,0,
42,0.010301086,0.030903258,1.64E-05,0.001637832,0.010301086
,,,0,0,
69,0.010301086,0.041204344,2.18E-05,0.002183776,0.010301086
,,,0,0,
84,0.010301086,0.05150543,2.73E-05,0.00272972,0.010301086
,,0,0,0,
97,0.010301086,0.061806516,3.28E-05,0.003275663,0.010301086
,,0,0,0,
101,0.010301086,0.072107602,3.82E-05,0.003821607,0.010301086
,,0,0,0,
105,0.010301086,0.082408688,4.37E-05,0.004367551,0.010301086
,,0,0,0,
175,0.010301086,0.092709774,4.91E-05,0.004913495,0.010301086
,,0,0,0,
222,0.010301086,0.10301086,5.46E-05,0.005459439,0.010301086
,,0,0,0,
240,0.010301086,0.113311946,6.01E-05,0.006005383,0.010301086
,,0,0,0,
253,0.010301086,0.123613032,6.55E-05,0.006551327,0.010301086
,,0,0,0,
261,0.010301086,0.133914118,7.10E-05,0.007097271,0.010301086
,,0,0,0,
284,0.010301086,0.144215204,7.64E-05,0.007643215,0.010301086
,,0,0,0,
308,0.010301086,0.15451629,8.19E-05,0.008189159,0.010301086
,,0,0,0,
338,0.010301086,0.164817376,8.74E-05,0.008735103,0.010301086
,,0,0,0,
365,0.010301086,0.175118462,9.28E-05,0.009281046,0.010301086
,,0,0,0,
389,0.010301086,0.185419549,9.83E-05,0.00982699,0.010301086
,,0,0,0,
392,0.010301086,0.195720635,0.000103729,0.010372934,0.010301086
,,0,0,0,
428,0.010301086,0.206021721,0.000109189,0.010918878,0.010301086
,,0,0,0,
455,0.010301086,0.216322807,0.000114648,0.011464822,0.010301086
,,0,0,0,
458,0.010301086,0.226623893,0.000120108,0.012010766,0.010301086
,,0,0,0,
464,0.010301086,0.236924979,0.000125567,0.01255671,0.010301086
,,0,0,0,
465,0.010301086,0.247226065,0.000131027,0.013102654,0.010301086
,,0,0,0,
492,0.010301086,0.257527151,0.000136486,0.013648598,0.010301086
,,0,0,0,
514,0.010301086,0.267828237,0.000141945,0.014194542,0.010301086
,,0,0,0,
520,0.010301086,0.278129323,0.000147405,0.014740486,0.010301086
,,0,0,0,
525,0.010301086,0.288430409,0.000152864,0.015286429,0.010301086
,,0,0,0,
526,0.010301086,0.298731495,0.000158324,0.015832373,0.010301086
,,0,0,0,
571,0.010301086,0.309032581,0.000163783,0.016378317,0.010301086
,,0,0,0,
614,0.010301086,0.319333667,0.000169243,0.016924261,0.010301086
,,0,0,0,
643,0.010301086,0.329634753,0.000174702,0.017470205,0.010301086
,,0,0,0,
651,0.010301086,0.339935839,0.000180161,0.018016149,0.010301086
,,0,0,0,
677,0.010301086,0.350236925,0.000185621,0.018562093,0.010301086
,,0,0,0,
686,0.010301086,0.360538011,0.00019108,0.019108037,0.010301086
,,0,0,0,
705,0.010301086,0.370839097,0.00019654,0.019653981,0.010301086
,,0,0,0,
745,0.010301086,0.381140183,0.000201999,0.020199925,0.010301086
,,0,0,0,
768,0.010301086,0.391441269,0.000207459,0.020745869,0.010301086
,,0,0,0,
785,0.010301086,0.401742355,0.000212918,0.021291812,0.010301086
,,0,0,0,
810,0.010301086,0.412043441,0.000218378,0.021837756,0.010301086
,,0,0,0,
814,0.010301086,0.422344527,0.000223837,0.0223837,0.010301086
,,0,0,0,
829,0.010301086,0.432645613,0.000229296,0.022929644,0.010301086
,,0,0,0,
884,0.010301086,0.442946699,0.000234756,0.023475588,0.010301086
,,0,0,0,
905,0.010301086,0.453247785,0.000240215,0.024021532,0.010301086
,,0,0,0,
22,0.020602172,0.473849957,0.000251134,0.02511342,0.020602172
,,0,0,0,
45,0.020602172,0.494452129,0.000262053,0.026205308,0.020602172
,,0,0,0,
53,0.020602172,0.515054301,0.000272972,0.027297195,0.020602172
,,0,0,0,
96,0.020602172,0.535656473,0.000283891,0.028389083,0.020602172
,,0,0,0,
118,0.020602172,0.556258646,0.00029481,0.029480971,0.020602172
,,0,0,0,
119,0.020602172,0.576860818,0.000305729,0.030572859,0.020602172
,,0,0,0,
131,0.020602172,0.59746299,0.000316647,0.031664747,0.020602172
,,0,0,0,
134,0.020602172,0.618065162,0.000327566,0.032756635,0.020602172
,,0,0,0,
138,0.020602172,0.638667334,0.000338485,0.033848522,0.020602172
,,0,0,0,
145,0.020602172,0.659269506,0.000349404,0.03494041,0.020602172
,,0,0,0,
174,0.020602172,0.679871678,0.000360323,0.036032298,0.020602172
,,0,0,0,
176,0.020602172,0.70047385,0.000371242,0.037124186,0.020602172
,,0,0,0,
211,0.020602172,0.721076022,0.000382161,0.038216074,0.020602172
,,0,0,0,
218,0.020602172,0.741678194,0.00039308,0.039307962,0.020602172
,,0,0,0,
219,0.020602172,0.762280366,0.000403998,0.040399849,0.020602172
,,0,0,0,
220,0.020602172,0.782882538,0.000414917,0.041491737,0.020602172
,,0,0,0,
241,0.020602172,0.80348471,0.000425836,0.042583625,0.020602172
,,0,0,0,
297,0.020602172,0.824086882,0.000436755,0.043675513,0.020602172
,,0,0,0,
318,0.020602172,0.844689054,0.000447674,0.044767401,0.020602172
,,0,0,0,
320,0.020602172,0.865291226,0.000458593,0.045859288,0.020602172
,,0,0,0,
332,0.020602172,0.885893398,0.000469512,0.046951176,0.020602172
,,0,0,0,
337,0.020602172,0.906495571,0.000480431,0.048043064,0.020602172
,,0,0,0,
345,0.020602172,0.927097743,0.00049135,0.049134952,0.020602172
,,0,0,0,
346,0.020602172,0.947699915,0.000502268,0.05022684,0.020602172
,,0,0,0,
350,0.020602172,0.968302087,0.000513187,0.051318728,0.020602172
,,0,0,0,
355,0.020602172,0.988904259,0.000524106,0.052410615,0.020602172
,,0,0,0,
370,0.020602172,1.009506431,0.000535025,0.053502503,0.020602172
,,0,0,0,
374,0.020602172,1.030108603,0.000545944,0.054594391,0.020602172
,,0,0,0,
391,0.020602172,1.050710775,0.000556863,0.055686279,0.020602172
,,0,0,0,
401,0.020602172,1.071312947,0.000567782,0.056778167,0.020602172
,,0,0,0,
420,0.020602172,1.091915119,0.000578701,0.057870054,0.020602172
,,0,0,0,
426,0.020602172,1.112517291,0.000589619,0.058961942,0.020602172
,,0,0,0,
468,0.020602172,1.133119463,0.000600538,0.06005383,0.020602172
,,0,0,0,
482,0.020602172,1.153721635,0.000611457,0.061145718,0.020602172
,,0,0,0,
530,0.020602172,1.174323807,0.000622376,0.062237606,0.020602172
,,0,0,0,
544,0.020602172,1.194925979,0.000633295,0.063329494,0.020602172
,,0,0,0,
582,0.020602172,1.215528151,0.000644214,0.064421381,0.020602172
,,0,0,0,
607,0.020602172,1.236130323,0.000655133,0.065513269,0.020602172
,,0,0,0,
627,0.020602172,1.256732496,0.000666052,0.066605157,0.020602172
,,0,0,0,
650,0.020602172,1.277334668,0.00067697,0.067697045,0.020602172
,,0,0,0,
681,0.020602172,1.29793684,0.000687889,0.068788933,0.020602172
,,0,0,0,
723,0.020602172,1.318539012,0.000698808,0.06988082,0.020602172
,,0,0,0,
726,0.020602172,1.339141184,0.000709727,0.070972708,0.020602172
,,0,0,0,
784,0.020602172,1.359743356,0.000720646,0.072064596,0.020602172
,,0,0,0,
823,0.020602172,1.380345528,0.000731565,0.073156484,0.020602172
,,0,0,0,
824,0.020602172,1.4009477,0.000742484,0.074248372,0.020602172
,,0,0,0,
847,0.020602172,1.421549872,0.000753403,0.07534026,0.020602172
,,0,0,0,
849,0.020602172,1.442152044,0.000764321,0.076432147,0.020602172
,,0,0,0,
865,0.020602172,1.462754216,0.00077524,0.077524035,0.020602172
,,0,0,0,
873,0.020602172,1.483356388,0.000786159,0.078615923,0.020602172
,,0,0,0,
882,0.020602172,1.50395856,0.000797078,0.079707811,0.020602172
,,0,0,0,
917,0.020602172,1.524560732,0.000807997,0.080799699,0.020602172
,,0,0,0,
920,0.020602172,1.545162904,0.000818916,0.081891586,0.020602172
,,0,0,0,
28,0.030903258,1.576066162,0.000835294,0.083529418,0.030903258
,,0,0,0,
65,0.030903258,1.60696942,0.000851672,0.08516725,0.030903258
,,0,0,0,
81,0.030903258,1.637872679,0.000868051,0.086805082,0.030903258
,,0,0,0,
92,0.030903258,1.668775937,0.000884429,0.088442913,0.030903258
,,0,0,0,
99,0.030903258,1.699679195,0.000900807,0.090080745,0.030903258
,,0,0,0,
104,0.030903258,1.730582453,0.000917186,0.091718577,0.030903258
,,0,0,0,
113,0.030903258,1.761485711,0.000933564,0.093356409,0.030903258
,,0,0,0,
132,0.030903258,1.792388969,0.000949942,0.09499424,0.030903258
,,0,0,0,
142,0.030903258,1.823292227,0.000966321,0.096632072,0.030903258
,,0,0,0,
143,0.030903258,1.854195485,0.000982699,0.098269904,0.030903258
,,0,0,0,
217,0.030903258,1.885098743,0.000999077,0.099907735,0.030903258
,,0,0,0,
231,0.030903258,1.916002001,0.001015456,0.101545567,0.030903258
,,0,0,0,
244,0.030903258,1.946905259,0.001031834,0.103183399,0.030903258
,,0,0,0,
247,0.030903258,1.977808518,0.001048212,0.104821231,0.030903258
,,0,0,0,
289,0.030903258,2.008711776,0.001064591,0.106459062,0.030903258
,,0,0,0,
379,0.030903258,2.039615034,0.001080969,0.108096894,0.030903258
,,0,0,0,
397,0.030903258,2.070518292,0.001097347,0.109734726,0.030903258
,,0,0,0,
528,0.030903258,2.10142155,0.001113726,0.111372558,0.030903258
,,0,0,0,
534,0.030903258,2.132324808,0.001130104,0.113010389,0.030903258
,,0,0,0,
564,0.030903258,2.163228066,0.001146482,0.114648221,0.030903258
,,0,0,0,
665,0.030903258,2.194131324,0.001162861,0.116286053,0.030903258
,,0,0,0,
683,0.030903258,2.225034582,0.001179239,0.117923885,0.030903258
