label,area,,,,area
,,,,,
1,0.043061871,0.043061871,6.93375E-06,0.000693375,0.043061871
,,,0,0,
15,0.043061871,0.086123743,1.38675E-05,0.001386751,0.043061871
,,0,0,0,
28,0.043061871,0.129185614,2.08013E-05,0.002080126,0.043061871
,,0,0,0,
42,0.043061871,0.172247485,2.7735E-05,0.002773502,0.043061871
,,0,0,0,
77,0.043061871,0.215309356,3.46688E-05,0.003466877,0.043061871
,,0,0,0,
124,0.043061871,0.258371228,4.16025E-05,0.004160253,0.043061871
,,0,0,0,
143,0.043061871,0.301433099,4.85363E-05,0.004853628,0.043061871
,,0,0,0,
161,0.043061871,0.34449497,5.547E-05,0.005547004,0.043061871
,,0,0,0,
186,0.043061871,0.387556842,6.24038E-05,0.006240379,0.043061871
,,0,0,0,
202,0.043061871,0.430618713,6.93375E-05,0.006933755,0.043061871
,,0,0,0,
207,0.043061871,0.473680584,7.62713E-05,0.00762713,0.043061871
,,0,0,0,
252,0.043061871,0.516742456,8.32051E-05,0.008320506,0.043061871
,,0,0,0,
254,0.043061871,0.559804327,9.01388E-05,0.009013881,0.043061871
,,0,0,0,
259,0.043061871,0.602866198,9.70726E-05,0.009707257,0.043061871
,,0,0,0,
266,0.043061871,0.645928069,0.000104006,0.010400632,0.043061871
,,0,0,0,
268,0.043061871,0.688989941,0.00011094,0.011094008,0.043061871
,,0,0,0,
277,0.043061871,0.732051812,0.000117874,0.011787383,0.043061871
,,0,0,0,
279,0.043061871,0.775113683,0.000124808,0.012480759,0.043061871
,,0,0,0,
368,0.043061871,0.818175555,0.000131741,0.013174134,0.043061871
,,0,0,0,
561,0.043061871,0.861237426,0.000138675,0.01386751,0.043061871
,,0,0,0,
588,0.043061871,0.904299297,0.000145609,0.014560885,0.043061871
,,0,0,0,
630,0.043061871,0.947361169,0.000152543,0.015254261,0.043061871
,,0,0,0,
652,0.043061871,0.99042304,0.000159476,0.015947636,0.043061871
,,0,0,0,
679,0.043061871,1.033484911,0.00016641,0.016641012,0.043061871
,,0,0,0,
682,0.043061871,1.076546782,0.000173344,0.017334387,0.043061871
,,0,0,0,
688,0.043061871,1.119608654,0.000180278,0.018027763,0.043061871
,,0,0,0,
741,0.043061871,1.162670525,0.000187211,0.018721138,0.043061871
,,0,0,0,
774,0.043061871,1.205732396,0.000194145,0.019414514,0.043061871
,,0,0,0,
789,0.043061871,1.248794268,0.000201079,0.020107889,0.043061871
,,0,0,0,
790,0.043061871,1.291856139,0.000208013,0.020801265,0.043061871
,,0,0,0,
830,0.043061871,1.33491801,0.000214946,0.02149464,0.043061871
,,0,0,0,
836,0.043061871,1.377979881,0.00022188,0.022188016,0.043061871
,,0,0,0,
845,0.043061871,1.421041753,0.000228814,0.022881391,0.043061871
,,0,0,0,
858,0.043061871,1.464103624,0.000235748,0.023574767,0.043061871
,,0,0,0,
872,0.043061871,1.507165495,0.000242681,0.024268142,0.043061871
,,0,0,0,
948,0.043061871,1.550227367,0.000249615,0.024961518,0.043061871
,,0,0,0,
1000,0.043061871,1.593289238,0.000256549,0.025654893,0.043061871
,,0,0,0,
1010,0.043061871,1.636351109,0.000263483,0.026348269,0.043061871
,,0,0,0,
1034,0.043061871,1.679412981,0.000270416,0.027041644,0.043061871
,,0,0,0,
1042,0.043061871,1.722474852,0.00027735,0.02773502,0.043061871
,,0,0,0,
1114,0.043061871,1.765536723,0.000284284,0.028428395,0.043061871
,,0,0,0,
1133,0.043061871,1.808598594,0.000291218,0.029121771,0.043061871
,,0,0,0,
1138,0.043061871,1.851660466,0.000298151,0.029815146,0.043061871
,,0,0,0,
1142,0.043061871,1.894722337,0.000305085,0.030508522,0.043061871
,,0,0,0,
1154,0.043061871,1.937784208,0.000312019,0.031201897,0.043061871
,,0,0,0,
1182,0.043061871,1.98084608,0.000318953,0.031895273,0.043061871
,,0,0,0,
1227,0.043061871,2.023907951,0.000325886,0.032588648,0.043061871
,,0,0,0,
80,0.086123743,2.110031694,0.000339754,0.033975399,0.086123743
,,0,0,0,
107,0.086123743,2.196155436,0.000353622,0.03536215,0.086123743
,,0,0,0,
111,0.086123743,2.282279179,0.000367489,0.036748901,0.086123743
,,0,0,0,
131,0.086123743,2.368402921,0.000381357,0.038135652,0.086123743
,,0,0,0,
141,0.086123743,2.454526664,0.000395224,0.039522403,0.086123743
,,0,0,0,
162,0.086123743,2.540650407,0.000409092,0.040909154,0.086123743
,,0,0,0,
196,0.086123743,2.626774149,0.000422959,0.042295905,0.086123743
,,0,0,0,
208,0.086123743,2.712897892,0.000436827,0.043682656,0.086123743
,,0,0,0,
214,0.086123743,2.799021634,0.000450694,0.045069407,0.086123743
,,0,0,0,
216,0.086123743,2.885145377,0.000464562,0.046456158,0.086123743
,,0,0,0,
221,0.086123743,2.971269119,0.000478429,0.047842909,0.086123743
,,0,0,0,
267,0.086123743,3.057392862,0.000492297,0.04922966,0.086123743
,,0,0,0,
319,0.086123743,3.143516605,0.000506164,0.050616411,0.086123743
,,0,0,0,
322,0.086123743,3.229640347,0.000520032,0.052003162,0.086123743
,,0,0,0,
332,0.086123743,3.31576409,0.000533899,0.053389913,0.086123743
,,0,0,0,
337,0.086123743,3.401887832,0.000547767,0.054776664,0.086123743
,,0,0,0,
341,0.086123743,3.488011575,0.000561634,0.056163415,0.086123743
,,0,0,0,
391,0.086123743,3.574135318,0.000575502,0.057550166,0.086123743
,,0,0,0,
410,0.086123743,3.66025906,0.000589369,0.058936917,0.086123743
,,0,0,0,
428,0.086123743,3.746382803,0.000603237,0.060323668,0.086123743
,,0,0,0,
447,0.086123743,3.832506545,0.000617104,0.061710419,0.086123743
,,0,0,0,
459,0.086123743,3.918630288,0.000630972,0.06309717,0.086123743
,,0,0,0,
468,0.086123743,4.004754031,0.000644839,0.064483921,0.086123743
,,0,0,0,
493,0.086123743,4.090877773,0.000658707,0.065870672,0.086123743
,,0,0,0,
500,0.086123743,4.177001516,0.000672574,0.067257423,0.086123743
,,0,0,0,
517,0.086123743,4.263125258,0.000686442,0.068644174,0.086123743
,,0,0,0,
566,0.086123743,4.349249001,0.000700309,0.070030925,0.086123743
,,0,0,0,
571,0.086123743,4.435372744,0.000714177,0.071417676,0.086123743
,,0,0,0,
573,0.086123743,4.521496486,0.000728044,0.072804427,0.086123743
,,0,0,0,
585,0.086123743,4.607620229,0.000741912,0.074191177,0.086123743
,,0,0,0,
591,0.086123743,4.693743971,0.000755779,0.075577928,0.086123743
,,0,0,0,
593,0.086123743,4.779867714,0.000769647,0.076964679,0.086123743
,,0,0,0,
596,0.086123743,4.865991457,0.000783514,0.07835143,0.086123743
,,0,0,0,
604,0.086123743,4.952115199,0.000797382,0.079738181,0.086123743
,,0,0,0,
610,0.086123743,5.038238942,0.000811249,0.081124932,0.086123743
,,0,0,0,
620,0.086123743,5.124362684,0.000825117,0.082511683,0.086123743
,,0,0,0,
633,0.086123743,5.210486427,0.000838984,0.083898434,0.086123743
,,0,0,0,
635,0.086123743,5.296610169,0.000852852,0.085285185,0.086123743
,,0,0,0,
657,0.086123743,5.382733912,0.000866719,0.086671936,0.086123743
,,0,0,0,
664,0.086123743,5.468857655,0.000880587,0.088058687,0.086123743
,,0,0,0,
671,0.086123743,5.554981397,0.000894454,0.089445438,0.086123743
,,0,0,0,
674,0.086123743,5.64110514,0.000908322,0.090832189,0.086123743
,,0,0,0,
684,0.086123743,5.727228882,0.000922189,0.09221894,0.086123743
,,0,0,0,
695,0.086123743,5.813352625,0.000936057,0.093605691,0.086123743
,,0,0,0,
699,0.086123743,5.899476368,0.000949924,0.094992442,0.086123743
,,0,0,0,
700,0.086123743,5.98560011,0.000963792,0.096379193,0.086123743
,,0,0,0,
701,0.086123743,6.071723853,0.000977659,0.097765944,0.086123743
,,0,0,0,
707,0.086123743,6.157847595,0.000991527,0.099152695,0.086123743
,,0,0,0,
727,0.086123743,6.243971338,0.001005394,0.100539446,0.086123743
,,0,0,0,
729,0.086123743,6.330095081,0.001019262,0.101926197,0.086123743
,,0,0,0,
736,0.086123743,6.416218823,0.001033129,0.103312948,0.086123743
,,0,0,0,
747,0.086123743,6.502342566,0.001046997,0.104699699,0.086123743
,,0,0,0,
752,0.086123743,6.588466308,0.001060865,0.10608645,0.086123743
,,0,0,0,
753,0.086123743,6.674590051,0.001074732,0.107473201,0.086123743
,,0,0,0,
757,0.086123743,6.760713794,0.0010886,0.108859952,0.086123743
,,0,0,0,
785,0.086123743,6.846837536,0.001102467,0.110246703,0.086123743
,,0,0,0,
788,0.086123743,6.932961279,0.001116335,0.111633454,0.086123743
,,0,0,0,
794,0.086123743,7.019085021,0.001130202,0.113020205,0.086123743
,,0,0,0,
798,0.086123743,7.105208764,0.00114407,0.114406956,0.086123743
,,0,0,0,
808,0.086123743,7.191332507,0.001157937,0.115793707,0.086123743
,,0,0,0,
854,0.086123743,7.277456249,0.001171805,0.117180458,0.086123743
,,0,0,0,
878,0.086123743,7.363579992,0.001185672,0.118567209,0.086123743
,,0,0,0,
881,0.086123743,7.449703734,0.00119954,0.11995396,0.086123743
,,0,0,0,
901,0.086123743,7.535827477,0.001213407,0.121340711,0.086123743
,,0,0,0,
919,0.086123743,7.62195122,0.001227275,0.122727462,0.086123743
,,0,0,0,
937,0.086123743,7.708074962,0.001241142,0.124114213,0.086123743
,,0,0,0,
943,0.086123743,7.794198705,0.00125501,0.125500964,0.086123743
,,0,0,0,
946,0.086123743,7.880322447,0.001268877,0.126887715,0.086123743
,,0,0,0,
961,0.086123743,7.96644619,0.001282745,0.128274466,0.086123743
,,0,0,0,
969,0.086123743,8.052569932,0.001296612,0.129661217,0.086123743
,,0,0,0,
